Version,LookupKey
11.28,MBI5051B
11.28,5155
11.28,FM6153
11.28,FM6253
11.28,SM16159
11.28,MBI5153
11.28,ICN2050
11.28,2053
11.28,2058
11.28,2153
11.28,DP3264
11.28,DP3265
11.28,DP3265S
11.28,HX8055
11.28,CFD455
11.28,MBI5152
11.28,FM6353
11.28,SM1616195
11.28,ICN2055
11.28,DP5525
11.28,HX8864
11.28,CFD465A
11.28,FM6373
11.28,ICND2165
11.28,SM16259
11.28,ICN2065
11.28,DP3365S
11.28,CFD455C
11.28,MBI5353B
11.28,FM6565CE
11.28,SM16359
11.28,ICND2163
11.28,DP3269
11.28,CFD325A
11.28,MBI5252
11.28,FM6565
11.28,FM6569
11.28,SM16369S
11.28,DP3254
11.28,DP3153
11.28,DP3357
11.28,MBI5252B
11.28,SM16380S
11.28,ICND2169
11.28,DP3364S
11.28,SM16380SH
11.28,ICND2153S
11.28,MBI5253
11.28,SM16380SF
11.28,ICND1065S
11.28,MBI5253B
11.28,SM16389S
11.28,MBI5254
11.28,SM16395
11.28,SM16389SF
10.92,FM6363
3.52,ICND1063
3.52,ICND2263
3.52,ICND2152
3.52,ICND1065
12.35,ICND1065L
15.37,DP3365S
15.37,ICN1068
15.37,DP3254
15.37,DP3153
15.37,DP3369S
16.55,SM16380SH
16.55,SA
13.80,Normal chip
13.80,MBI5020
13.80,ICN2026
13.80,SUM2016
13.80,SM20167
13.80,FM6047
13.80,MY9862
13.80,SM16207
13.80,SM16208
13.80,SM16280SF
13.80,SUM2017
13.80,ICND2038
13.80,2037
13.80,DP3246
13.80,MBI5124
13.80,FM6124
13.80,MY9866
13.80,SM16237
13.80,SUM2017TD
13.80,ICN20385
13.80,ICN2045
13.80,ICN2088
13.80,MBI5124N
13.80,FM6126
13.80,MY9868
13.80,SM16237S
13.80,ICND2046
13.80,ICND2049
13.80,MBI5166
13.80,FM6127
13.80,SM16237DS
13.80,ICND2047
13.80,MBI5266
13.80,FM6182
13.80,LS9929
7.52,LS9930
7.52,LS9935B
7.52,LS9936
7.30,LS9932
19.10,LS9937
